time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-02T23:47:14.452Z,37.3214,141.076,53.726,4.2,mwr,78,111,2.425,0.45,us,us6000i7ld,2022-08-03T01:01:08.390Z,"19 km SSE of Namie, Japan",earthquake,9,6.048,0.078,16,reviewed,us,us
2022-08-02T21:44:37.487Z,23.9263,122.4724,22.909,4.3,mb,36,169,0.729,0.69,us,us6000i7km,2022-08-02T22:40:11.040Z,"80 km SW of Yonakuni, Japan",earthquake,3,6.501,0.129,17,reviewed,us,us
2022-08-02T21:44:06.980Z,40.3136667,-124.5783333,15.88,3.46,ml,50,232,0.182,0.2,nc,nc73763275,2022-08-03T00:42:49.868Z,"25km W of Petrolia, CA",earthquake,0.64,0.41,0.266,56,reviewed,nc,nc
2022-08-02T21:11:41.381Z,-18.1158,-178.2021,521.281,5.6,mww,105,33,3.527,1.04,us,us6000i7k8,2022-08-02T23:14:56.083Z,"262 km E of Levuka, Fiji",earthquake,10.01,5.634,0.093,11,reviewed,us,us
2022-08-02T20:02:03.821Z,-16.8551,28.5345,11.267,4,mb,27,71,3.356,0.91,us,us6000i7jj,2022-08-02T21:46:58.040Z,"39 km SSW of Siavonga, Zambia",earthquake,9.47,4.732,0.164,13,reviewed,us,us
2022-08-02T19:19:33.966Z,7.2218,126.9495,41.298,5.4,mww,121,44,1.368,1.03,us,us6000i7j6,2022-08-02T21:22:53.348Z,"42 km E of Santiago, Philippines",earthquake,6.56,4.354,0.063,24,reviewed,us,us
2022-08-02T18:32:17.700Z,18.8466666666667,-64.4886666666667,7.38,3.43,md,13,308,,0.37,pr,pr71362188,2022-08-02T20:53:27.040Z,"65 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,10.79,10.13,0.109140067053829,7,reviewed,pr,pr
2022-08-02T18:22:51.938Z,44.3546,-114.1602,13.438,2.7,ml,27,67,0.543,1.07,us,us6000i7it,2022-08-02T19:49:09.040Z,"17 km SSE of Challis, Idaho",earthquake,2.04,7.099,0.036,104,reviewed,us,us
2022-08-02T17:59:40.863Z,42.8309,132.0624,520.128,4.3,mb,150,37,1.369,0.91,us,us6000i7in,2022-08-02T18:26:25.040Z,"22 km WSW of Dunay, Russia",earthquake,9.44,7.05,0.039,193,reviewed,us,us
2022-08-02T17:10:56.280Z,34.0699,45.7852,11.28,4.1,mb,31,193,1.046,0.86,us,us6000i7ie,2022-08-02T18:47:56.040Z,"41 km NNE of Mandalī, Iraq",earthquake,4.94,4.789,0.135,18,reviewed,us,us
2022-08-02T15:46:19.569Z,16.1099,-87.6284,10,4.2,mb,53,106,2.07,0.52,us,us6000i7hw,2022-08-02T17:17:50.153Z,"34 km NE of Baja Mar, Honduras",earthquake,3.43,1.954,0.074,53,reviewed,us,us
2022-08-02T15:42:09.865Z,59.7667,-153.6237,151.3,2.5,ml,,,,0.35,ak,ak0229u66smj,2022-08-02T16:12:48.040Z,"27 km E of Pedro Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-08-02T15:33:13.951Z,16.0422,-87.6534,10,4.2,mb,25,62,2.007,0.63,us,us6000i7hs,2022-08-02T16:54:10.123Z,"27 km NE of Baja Mar, Honduras",earthquake,5.6,1.9,0.146,13,reviewed,us,us
2022-08-02T15:17:01.461Z,16.1209,-87.5144,10,5.4,mww,77,45,2.065,0.59,us,us6000i7hp,2022-08-03T00:40:59.512Z,"38 km N of Tela, Honduras",earthquake,6.12,1.876,0.043,52,reviewed,us,us
2022-08-02T14:36:53.437Z,61.6915,-150.7049,53.9,2.8,ml,,,,0.56,ak,ak0229u5k61r,2022-08-02T16:39:31.997Z,"19 km NNW of Susitna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-08-02T14:32:45.520Z,36.6278333,-119.2715,25.05,2.55,md,9,104,0.1894,0.24,nc,nc73763100,2022-08-02T22:43:10.444Z,"4km E of Orange Cove, CA",earthquake,1.1,1.35,0.175,56,reviewed,nc,nc
2022-08-02T14:31:35.298Z,54.5246,-163.3151,13.59,3.7,ml,16,169,0.337,0.25,us,us6000i7hb,2022-08-02T15:05:00.040Z,"37 km S of False Pass, Alaska",earthquake,5,9.2,0.085,18,reviewed,us,us
2022-08-02T14:24:34.984Z,64.3171,-17.6253,7.83,4.1,mb,32,127,1.657,0.63,us,us6000i7hi,2022-08-02T15:03:51.040Z,"117 km W of Höfn, Iceland",earthquake,10.1,5.6,0.114,22,reviewed,us,us
2022-08-02T14:07:41.846Z,31.6495,-104.4055,5,2.7,ml,20,111,0.083,0.41,us,us6000i7h5,2022-08-02T14:40:02.040Z,"58 km S of Whites City, New Mexico",earthquake,1.4,1.9,0.048,56,reviewed,us,us
2022-08-02T13:42:25.407Z,32.5833,69.0648,10,4.3,mb,19,114,1.952,0.72,us,us6000i7g8,2022-08-02T14:02:09.040Z,"57 km WNW of Wana, Pakistan",earthquake,6,2,0.178,10,reviewed,us,us
2022-08-02T13:14:39.388Z,-7.0983,107.5458,134.66,4.5,mb,35,77,0.376,0.75,us,us6000i7g1,2022-08-02T14:15:47.834Z,"7 km SW of Banjaran, Indonesia",earthquake,8.9,5.2,0.124,22,reviewed,us,us
2022-08-02T12:49:57.471Z,-60.0476,-26.7786,103.08,5,mb,57,64,7.819,0.54,us,us6000i7fu,2022-08-02T13:08:31.040Z,"South Sandwich Islands region",earthquake,9.6,6.8,0.076,55,reviewed,us,us
2022-08-02T12:18:39.710Z,38.2254982,-119.0931702,17.14,2.59,ml,34,94,0.2995,0.15,nc,nc73763050,2022-08-02T17:46:52.535Z,"7km WNW of Bodie, CA",earthquake,0.4,1.15,0.402,12,automatic,nc,nc
2022-08-02T11:59:02.730Z,31.9898333,-116.9188333,17.05,2.54,ml,22,259,0.2481,0.16,ci,ci40073759,2022-08-03T00:08:54.235Z,"24km WNW of El Sauzal, B.C., MX",earthquake,0.65,1.03,0.11,24,reviewed,ci,ci
2022-08-02T10:39:19.090Z,19.1798333333333,-155.478333333333,34.95,2.86,md,54,75,,0.12,hv,hv73095397,2022-08-02T21:33:25.230Z,"2 km S of Pāhala, Hawaii",earthquake,0.43,0.5,0.166953537026118,20,reviewed,hv,hv
2022-08-02T10:19:30.400Z,1.7076,99.5372,180.12,4.5,mb,75,105,1.155,0.66,us,us6000i7ev,2022-08-02T10:50:19.040Z,"44 km SSW of Bandar, Indonesia",earthquake,6.2,6.4,0.068,64,reviewed,us,us
2022-08-02T08:55:39.490Z,18.9803333333333,-155.435,37.85,2.63,ml,51,227,,0.11,hv,hv73095337,2022-08-02T22:07:01.750Z,"18 km ESE of Naalehu, Hawaii",earthquake,0.47,0.68,0.0878494894339958,16,reviewed,hv,hv
2022-08-02T08:52:31.300Z,19.0074996948242,-155.424835205078,35.5099983215332,2.71,ml,50,256,,0.129999995,hv,hv73095332,2022-08-02T10:21:13.757Z,"17 km ESE of Naalehu, Hawaii",earthquake,0.58,0.74000001,3.89,22,automatic,hv,hv
2022-08-02T06:24:12.560Z,40.4381667,-127.0453333,9.62,2.87,md,18,321,2.066,0.22,nc,nc73762960,2022-08-02T22:28:10.238Z,"234km W of Petrolia, CA",earthquake,4.56,31.61,0.078,12,reviewed,nc,nc
2022-08-02T05:24:32.293Z,6.7917,123.8396,57.998,5.5,mww,70,57,1.749,0.69,us,us6000i7d8,2022-08-02T18:50:56.320Z,"19 km W of Gadung, Philippines",earthquake,4.12,5.09,0.065,23,reviewed,us,us
2022-08-02T04:46:27.060Z,18.6468333333333,-66.9325,20.64,3.09,md,24,229,,0.14,pr,pr71362078,2022-08-02T05:19:26.380Z,"18 km NNE of Isabela, Puerto Rico",earthquake,0.47,0.91,0.137037601360671,12,reviewed,pr,pr
2022-08-02T03:33:26.180Z,20.6103333333333,-155.878666666667,8.09,3.43,ml,47,198,,0.18,hv,hv73095112,2022-08-03T01:29:22.040Z,"20 km SE of Hana, Hawaii",earthquake,0.88,0.85,0.161211414609847,22,reviewed,hv,hv
2022-08-02T03:02:29.930Z,36.214,-89.437,8.26,2.55,md,46,54,0.02101,0.09,nm,nm60402802,2022-08-02T18:43:10.549Z,"7 km SE of Ridgely, Tennessee",earthquake,0.15,0.34,0.093,35,reviewed,nm,nm
2022-08-02T02:53:47.973Z,-17.8517,-178.0535,644.613,4.1,mb,39,122,3.524,0.58,us,us6000i7ck,2022-08-03T01:17:21.040Z,"279 km E of Levuka, Fiji",earthquake,15.74,8.509,0.059,79,reviewed,us,us
2022-08-02T02:27:06.040Z,64.0851,-22.0236,10,5,mww,81,52,0.731,0.56,us,us6000i7cg,2022-08-02T20:01:07.521Z,"1 km SSW of Álftanes, Iceland",earthquake,6.15,1.854,0.063,24,reviewed,us,us
